Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioSample Strain 	Assembly Level	Assembly Type	Assembly Stats Number of Contigs
GCF_002082685.1	Acinetobacter baumannii	470	15A34	Complete Genome	haploid	2
GCF_002082705.1	Acinetobacter baumannii	470	15A5	Complete Genome	haploid	3
GCF_002082725.1	Acinetobacter baumannii	470	USA2	Complete Genome	haploid	2
GCF_002082745.1	Acinetobacter baumannii	470	SSA6	Complete Genome	haploid	1
GCF_002082785.1	Acinetobacter baumannii	470	HWBA8	Complete Genome	haploid	2
GCF_002082805.1	Acinetobacter baumannii	470	WKA02	Complete Genome	haploid	1
GCF_002082825.1	Acinetobacter baumannii	470	USA15	Complete Genome	haploid	2
GCF_002082845.1	Acinetobacter baumannii	470	SAA14	Complete Genome	haploid	1
GCF_002082865.1	Acinetobacter baumannii	470	SSA12	Complete Genome	haploid	3
GCF_002082885.1	Acinetobacter baumannii	470	SSMA17	Complete Genome	haploid	2
GCF_002116925.1	Acinetobacter baumannii	470	ab736	Complete Genome	haploid	2
GCF_002210065.1	Acinetobacter baumannii	470	A85	Complete Genome	haploid	6
GCF_002504145.1	Acinetobacter baumannii	470	A1296	Complete Genome	haploid	3
GCF_002741415.1	Acinetobacter baumannii	470	A388	Complete Genome	haploid	2
GCF_002753915.1	Acinetobacter baumannii	470	AbPK1	Complete Genome	haploid	3
GCF_002761575.1	Acinetobacter baumannii	470	AYP-A2	Complete Genome	haploid	2
GCF_002762095.1	Acinetobacter baumannii	470	Ab4977	Complete Genome	haploid	1
GCF_002762115.1	Acinetobacter baumannii	470	Ab4568	Complete Genome	haploid	1
GCF_002762155.1	Acinetobacter baumannii	470	Ab4653	Complete Genome	haploid	1
GCF_002843665.1	Acinetobacter baumannii	470		Complete Genome	haploid	2
GCF_002902885.1	Acinetobacter baumannii	470	ABNIH28	Complete Genome	haploid	5
GCF_002947415.1	Acinetobacter baumannii	470	AR_0056	Complete Genome	haploid	4
GCF_002947845.1	Acinetobacter baumannii	470	AR_0063	Complete Genome	haploid	2
GCF_002948925.1	Acinetobacter baumannii	470	AR_0078	Complete Genome	haploid	1
GCF_002950495.2	Acinetobacter baumannii	470	WCHAB005133	Complete Genome	haploid	3
GCF_002996805.1	Acinetobacter baumannii	470	AR_0083	Complete Genome	haploid	2
GCF_002999195.2	Acinetobacter baumannii	470	WCHAB005078	Complete Genome	haploid	4
GCF_003006035.1	Acinetobacter baumannii	470	AR_0088	Complete Genome	haploid	3
GCF_003010655.1	Acinetobacter baumannii	470	AR_0102	Complete Genome	haploid	3
GCF_003010675.1	Acinetobacter baumannii	470	AR_0101	Complete Genome	haploid	2
GCF_003029495.1	Acinetobacter baumannii	470	AR_0056	Complete Genome	haploid	4
GCF_003181015.1	Acinetobacter baumannii	470	DA33098	Complete Genome	haploid	5
GCF_003264255.1	Acinetobacter baumannii	470	XH731	Complete Genome	haploid	2
GCF_003264275.1	Acinetobacter baumannii	470	XH386	Complete Genome	haploid	2
GCF_003264295.1	Acinetobacter baumannii	470	XH731	Complete Genome	haploid	2
GCF_003288775.1	Acinetobacter baumannii	470	Aba	Complete Genome	haploid	2
GCF_003296225.1	Acinetobacter baumannii	470	DA33382	Complete Genome	haploid	4
GCF_003345235.1	Acinetobacter baumannii	470	810CP	Complete Genome	haploid	3
GCF_003431385.1	Acinetobacter baumannii	470	7804	Complete Genome	haploid	3
GCF_003431865.1	Acinetobacter baumannii	470		Complete Genome	haploid	5
GCF_003516005.1	Acinetobacter baumannii	470	7847	Complete Genome	haploid	3
GCF_003522665.1	Acinetobacter baumannii	470	9201	Complete Genome	haploid	2
GCF_003522705.1	Acinetobacter baumannii	470	10324	Complete Genome	haploid	4
GCF_003522785.1	Acinetobacter baumannii	470	10042	Complete Genome	haploid	3
GCF_003522845.1	Acinetobacter baumannii	470	9102	Complete Genome	haploid	2
GCF_003522885.1	Acinetobacter baumannii	470	5845	Complete Genome	haploid	2
GCF_003547115.1	Acinetobacter baumannii	470		Complete Genome	haploid	5
GCF_003591615.1	Acinetobacter baumannii	470	XH906	Complete Genome	haploid	1
GCF_003812385.1	Acinetobacter baumannii	470	FDAARGOS_533	Complete Genome	haploid	3
GCF_003812485.1	Acinetobacter baumannii	470	MRSN15313	Complete Genome	haploid	4
GCF_003931755.1	Acinetobacter baumannii	470		Complete Genome	haploid	1
GCF_003931775.1	Acinetobacter baumannii	470		Complete Genome	haploid	1
GCF_003948085.2	Acinetobacter baumannii	470	TG31986	Complete Genome	haploid	2
GCF_003948455.2	Acinetobacter baumannii	470	TG22653	Complete Genome	haploid	2
GCF_003948535.2	Acinetobacter baumannii	470	TG22627	Complete Genome	haploid	2
GCF_003949115.2	Acinetobacter baumannii	470	TG31302	Complete Genome	haploid	2
GCF_003949595.2	Acinetobacter baumannii	470	TG22182	Complete Genome	haploid	3
GCF_003949725.2	Acinetobacter baumannii	470	TG29392	Complete Genome	haploid	4
GCF_004028375.1	Acinetobacter baumannii	470	A52	Complete Genome	haploid	6
GCF_004101685.1	Acinetobacter baumannii	470	11A1314CRGN088	Complete Genome	haploid	1
GCF_004101705.1	Acinetobacter baumannii	470	11A14CRGN003	Complete Genome	haploid	1
GCF_004101725.1	Acinetobacter baumannii	470	11A1213CRGN055	Complete Genome	haploid	1
GCF_004101745.1	Acinetobacter baumannii	470	11A1213CRGN008	Complete Genome	haploid	1
GCF_004136355.1	Acinetobacter baumannii	470	MDR-UNC	Complete Genome	haploid	3
GCF_004194555.1	Acinetobacter baumannii	470	NCIMB 8209	Complete Genome	haploid	2
GCF_004564095.1	Acinetobacter baumannii	470	LEV1449/17Ec	Complete Genome	haploid	4
GCF_004564115.1	Acinetobacter baumannii	470	39741	Complete Genome	haploid	4
GCF_004758865.1	Acinetobacter baumannii	470	CIAT758	Complete Genome	haploid	4
GCF_004768705.1	Acinetobacter baumannii	470	ACN21	Complete Genome	haploid	9
GCF_005280435.1	Acinetobacter baumannii	470	VB16141	Complete Genome	haploid	3
GCF_005280675.1	Acinetobacter baumannii	470	SP304	Complete Genome	haploid	4
GCF_005280695.1	Acinetobacter baumannii	470	VB33071	Complete Genome	haploid	3
GCF_005280715.1	Acinetobacter baumannii	470	VB35575	Complete Genome	haploid	2
GCF_005518095.1	Acinetobacter baumannii	470	P7774	Complete Genome	haploid	4
GCF_005671375.1	Acinetobacter baumannii	470	PB364	Complete Genome	haploid	3
GCF_006385075.1	Acinetobacter baumannii	470	11W359501	Complete Genome	haploid	1
GCF_007107525.1	Acinetobacter baumannii	470	J9	Complete Genome	haploid	4
GCF_007221455.1	Acinetobacter baumannii	470	A320 (RUH134)	Complete Genome	haploid	1
GCF_007647215.1	Acinetobacter baumannii	470	MDR-CQ	Complete Genome	haploid	2
GCF_008033255.2	Acinetobacter baumannii	470	ATCC BAA-1790	Complete Genome	haploid	3
GCF_008124045.1	Acinetobacter baumannii	470	PG20180064	Complete Genome	haploid	1
GCF_008244865.1	Acinetobacter baumannii	470	11A1213CRGN064	Complete Genome	haploid	1
GCF_008244885.1	Acinetobacter baumannii	470	N13-03449	Complete Genome	haploid	1
GCF_008244905.1	Acinetobacter baumannii	470	11A1314CRGN089	Complete Genome	haploid	1
GCF_008630895.1	Acinetobacter baumannii	470	AB043	Complete Genome	haploid	1
GCF_008807055.1	Acinetobacter baumannii	470	C25	Complete Genome	haploid	3
GCF_008931365.1	Acinetobacter baumannii	470	E47	Complete Genome	haploid	10
GCF_009035845.1	Acinetobacter baumannii	470	ATCC 19606	Complete Genome	haploid	3
GCF_009455505.1	Acinetobacter baumannii	470	6507	Complete Genome	haploid	1
GCF_009497995.1	Acinetobacter baumannii	470	7835	Complete Genome	haploid	3
GCF_009498335.1	Acinetobacter baumannii	470	ABCR01	Complete Genome	haploid	1
GCF_009740145.1	Acinetobacter baumannii	470	XL380	Complete Genome	haploid	2
GCF_009759685.1	Acinetobacter baumannii	470	ATCC 19606	Complete Genome	haploid	2
GCF_011067065.1	Acinetobacter baumannii	470	ATCC 17978	Complete Genome	haploid	3
GCF_012272715.1	Acinetobacter baumannii	470	DT-Ab057	Complete Genome	haploid	3
GCF_012272735.1	Acinetobacter baumannii	470	DT-Ab022	Complete Genome	haploid	4
GCF_012272755.1	Acinetobacter baumannii	470	DT-Ab020	Complete Genome	haploid	3
GCF_012272775.1	Acinetobacter baumannii	470	DT-Ab007	Complete Genome	haploid	2
GCF_012272795.1	Acinetobacter baumannii	470	DT-Ab003	Complete Genome	haploid	3
GCF_012931605.1	Acinetobacter baumannii	470	Ab-C102	Complete Genome	haploid	4
GCF_012931625.1	Acinetobacter baumannii	470	Ab-D10a-a	Complete Genome	haploid	6
GCF_012931645.1	Acinetobacter baumannii	470	Ab-B004d-c	Complete Genome	haploid	5
GCF_012931665.1	Acinetobacter baumannii	470	Ab-C63	Complete Genome	haploid	3
GCF_012934905.1	Acinetobacter baumannii	470	VB82	Complete Genome	haploid	3
GCF_012934925.1	Acinetobacter baumannii	470	VB473	Complete Genome	haploid	2
GCF_012934945.1	Acinetobacter baumannii	470	VB723	Complete Genome	haploid	2
GCF_012934965.1	Acinetobacter baumannii	470	VB11737	Complete Genome	haploid	9
GCF_012934985.1	Acinetobacter baumannii	470	VB2181	Complete Genome	haploid	2
GCF_012935005.1	Acinetobacter baumannii	470	VB2486	Complete Genome	haploid	7
GCF_012935025.1	Acinetobacter baumannii	470	VB2200	Complete Genome	haploid	3
GCF_012935045.1	Acinetobacter baumannii	470	PM1912235	Complete Genome	haploid	2
GCF_012935065.1	Acinetobacter baumannii	470	PM192696	Complete Genome	haploid	3
GCF_012935085.1	Acinetobacter baumannii	470	PM193665	Complete Genome	haploid	6
GCF_012935105.1	Acinetobacter baumannii	470	PM194188	Complete Genome	haploid	7
GCF_012935125.1	Acinetobacter baumannii	470	PM194229	Complete Genome	haploid	4
GCF_012935145.1	Acinetobacter baumannii	470	VB7036	Complete Genome	haploid	3
GCF_012935165.1	Acinetobacter baumannii	470	VB2139	Complete Genome	haploid	4
GCF_012935185.1	Acinetobacter baumannii	470	VB2107	Complete Genome	haploid	4
GCF_012974585.1	Acinetobacter baumannii	470	ABF9692	Complete Genome	haploid	2
GCF_012974845.1	Acinetobacter baumannii	470	CUVET-MIC596	Complete Genome	haploid	2
GCF_013305465.1	Acinetobacter baumannii	470	MS14413	Complete Genome	haploid	1
GCF_013376855.2	Acinetobacter baumannii	470	TP1	Complete Genome	haploid	2
GCF_013377175.1	Acinetobacter baumannii	470	A1429	Complete Genome	haploid	4
GCF_013394265.1	Acinetobacter baumannii	470	31FS3-2	Complete Genome	haploid	2
GCF_013394285.1	Acinetobacter baumannii	470	29FS20	Complete Genome	haploid	3
GCF_013416255.1	Acinetobacter baumannii	470	DT0544C	Complete Genome	haploid	3
GCF_013416275.1	Acinetobacter baumannii	470	DT01139C	Complete Genome	haploid	4
GCF_013787185.1	Acinetobacter baumannii	470	36-1512	Complete Genome	haploid	5
GCF_014159355.1	Acinetobacter baumannii	470	WP4-W18-ESBL-11	Complete Genome	haploid	1
GCF_014169655.1	Acinetobacter baumannii	470	WP8-W18-ESBL-11	Complete Genome	haploid	3
GCF_014267385.1	Acinetobacter baumannii	470	XYAB2018	Complete Genome	haploid	1
GCF_014322245.1	Acinetobacter baumannii	470	DETAB-P2	Complete Genome	haploid	4
GCF_014672735.1	Acinetobacter baumannii	470	A118	Complete Genome	haploid	1
GCF_014672755.1	Acinetobacter baumannii	470	ATCC 19606	Complete Genome	haploid	1
GCF_014672775.1	Acinetobacter baumannii	470	ATCC 17978	Complete Genome	haploid	2
GCF_014705785.1	Acinetobacter baumannii	470	CFSAN093709	Complete Genome	haploid	2
GCF_014705805.1	Acinetobacter baumannii	470	CFSAN093710	Complete Genome	haploid	3
GCF_014705825.1	Acinetobacter baumannii	470	CFSAN093705	Complete Genome	haploid	2
GCF_014705845.1	Acinetobacter baumannii	470	CFSAN093706	Complete Genome	haploid	2
GCF_014705865.1	Acinetobacter baumannii	470	CFSAN093707	Complete Genome	haploid	2
GCF_014705885.1	Acinetobacter baumannii	470	CFSAN093708	Complete Genome	haploid	2
GCF_014874575.1	Acinetobacter baumannii	470	AC1633	Complete Genome	haploid	5
GCF_015571935.1	Acinetobacter baumannii	470	Res13-Abat-PEA21-P4-01-A	Complete Genome	haploid	5
GCF_015732435.1	Acinetobacter baumannii	470	abA1	Complete Genome	haploid	1
GCF_015870765.1	Acinetobacter baumannii	470	TP2	Complete Genome	haploid	2
GCF_015870965.1	Acinetobacter baumannii	470	TP3	Complete Genome	haploid	2
GCF_015910475.1	Acinetobacter baumannii	470	ATCC 17961	Complete Genome	haploid	3
GCF_016127515.1	Acinetobacter baumannii	470	FDAARGOS_1036	Complete Genome	haploid	2
GCF_016350005.1	Acinetobacter baumannii	470	G20AB011	Complete Genome	haploid	3
GCF_016350065.1	Acinetobacter baumannii	470	G20AB010	Complete Genome	haploid	3
GCF_016350085.1	Acinetobacter baumannii	470	G20AB007	Complete Genome	haploid	4
GCF_016350105.1	Acinetobacter baumannii	470	G20AB009	Complete Genome	haploid	2
GCF_016864295.1	Acinetobacter baumannii	470	AbCTX1	Complete Genome	haploid	1
GCF_016864315.2	Acinetobacter baumannii	470	AbCTX9	Complete Genome	haploid	2
GCF_016864915.1	Acinetobacter baumannii	470	AbCTX13	Complete Genome	haploid	3
GCF_016865465.1	Acinetobacter baumannii	470	NIPH17_0019	Complete Genome	haploid	1
GCF_016903135.1	Acinetobacter baumannii	470	FDAARGOS_1360	Complete Genome	haploid	3
GCF_016903215.1	Acinetobacter baumannii	470	FDAARGOS_1359	Complete Genome	haploid	2
GCF_016919505.2	Acinetobacter baumannii	470	AB5075-VUB	Complete Genome	haploid	4
GCF_016919525.1	Acinetobacter baumannii	470	AB5075-VUB-itrA::ISAba13	Complete Genome	haploid	4
GCF_017096325.2	Acinetobacter baumannii	470	2018BJAB2	Complete Genome	haploid	2
GCF_017096345.2	Acinetobacter baumannii	470	2014TJAB1	Complete Genome	haploid	2
GCF_017096365.2	Acinetobacter baumannii	470	2018TJAB1	Complete Genome	haploid	2
GCF_017096385.2	Acinetobacter baumannii	470	2016LNAB1	Complete Genome	haploid	4
GCF_017096405.2	Acinetobacter baumannii	470	2018BJAB1	Complete Genome	haploid	2
GCF_017096425.2	Acinetobacter baumannii	470	2014LNAB1	Complete Genome	haploid	4
GCF_017098185.2	Acinetobacter baumannii	470	2016BJAB1	Complete Genome	haploid	2
GCF_017098205.2	Acinetobacter baumannii	470	2014BJAB1	Complete Genome	haploid	2
GCF_017098225.2	Acinetobacter baumannii	470	2018HBAB1	Complete Genome	haploid	3
GCF_017098245.2	Acinetobacter baumannii	470	2018HLJAB2	Complete Genome	haploid	2
GCF_017098265.2	Acinetobacter baumannii	470	2018HLJAB1	Complete Genome	haploid	2
GCF_017639875.1	Acinetobacter baumannii	470	KSK1	Complete Genome	haploid	5
GCF_017723975.1	Acinetobacter baumannii	470	KSK6	Complete Genome	haploid	5
GCF_017724115.1	Acinetobacter baumannii	470	KSK7	Complete Genome	haploid	5
GCF_017724155.1	Acinetobacter baumannii	470	KSK10	Complete Genome	haploid	5
GCF_017724195.1	Acinetobacter baumannii	470	KSK11	Complete Genome	haploid	5
GCF_017724215.1	Acinetobacter baumannii	470	KSK18	Complete Genome	haploid	5
GCF_017726495.1	Acinetobacter baumannii	470	KSK19	Complete Genome	haploid	5
GCF_017726555.1	Acinetobacter baumannii	470	KSK20	Complete Genome	haploid	5
GCF_017726575.1	Acinetobacter baumannii	470	KSK Sensitive	Complete Genome	haploid	3
GCF_017742855.1	Acinetobacter baumannii	470	KSK2	Complete Genome	haploid	5
GCF_017753625.1	Acinetobacter baumannii	470	DETAB-E227	Complete Genome	haploid	4
GCF_018135585.1	Acinetobacter baumannii	470	DETAB-P39	Complete Genome	haploid	2
GCF_018454385.1	Acinetobacter baumannii	470	DD520	Complete Genome	haploid	2
GCF_018604365.1	Acinetobacter baumannii	470	Cl415	Complete Genome	haploid	3
GCF_018808925.1	Acinetobacter baumannii	470	D4	Complete Genome	haploid	3
GCF_018831125.1	Acinetobacter baumannii	470	D46	Complete Genome	haploid	5
GCF_018831465.1	Acinetobacter baumannii	470	Ax270	Complete Genome	haploid	1
GCF_018831485.1	Acinetobacter baumannii	470	Ex003	Complete Genome	haploid	2
GCF_019076685.1	Acinetobacter baumannii	470	CAb-65	Complete Genome	haploid	3
GCF_019356075.1	Acinetobacter baumannii	470	B10	Complete Genome	haploid	1
GCF_019356215.1	Acinetobacter baumannii	470	17978UN	Complete Genome	haploid	4
GCF_019457715.1	Acinetobacter baumannii	470	40288	Complete Genome	haploid	2
GCF_019458485.1	Acinetobacter baumannii	470	MRSN 56	Complete Genome	haploid	5
GCF_019703285.1	Acinetobacter baumannii	470	OCU Ac18	Complete Genome	haploid	12
GCF_019903155.1	Acinetobacter baumannii	470	E-011922	Complete Genome	haploid	4
GCF_019903175.1	Acinetobacter baumannii	470	10_4	Complete Genome	haploid	1
GCF_019903195.1	Acinetobacter baumannii	470	10_3	Complete Genome	haploid	1
GCF_019903215.1	Acinetobacter baumannii	470	B9	Complete Genome	haploid	1
GCF_019997865.1	Acinetobacter baumannii	470	AB43	Complete Genome	haploid	2
GCF_020132105.1	Acinetobacter baumannii	470	Cl300	Complete Genome	haploid	2
GCF_020271605.1	Acinetobacter baumannii	470	LHC22-2	Complete Genome	haploid	3
GCF_020520325.1	Acinetobacter baumannii	470	HKU3	Complete Genome	haploid	3
GCF_020520345.1	Acinetobacter baumannii	470	HKU4	Complete Genome	haploid	3
GCF_020520365.1	Acinetobacter baumannii	470	HKU5	Complete Genome	haploid	3
GCF_020520385.1	Acinetobacter baumannii	470	HKU6	Complete Genome	haploid	3
GCF_020520405.1	Acinetobacter baumannii	470	HKU7	Complete Genome	haploid	3
GCF_020810655.1	Acinetobacter baumannii	470	RCH52	Complete Genome	haploid	3
GCF_020906565.1	Acinetobacter baumannii	470	ACI713	Complete Genome	haploid	1
GCF_020911985.1	Acinetobacter baumannii	470	ATCC 19606	Complete Genome	haploid	2
GCF_020912005.1	Acinetobacter baumannii	470	ATCC 17978	Complete Genome	haploid	6
GCF_020985285.1	Acinetobacter baumannii	470	SHOU-Ab01	Complete Genome	haploid	3
GCF_021398135.1	Acinetobacter baumannii	470	AB1343	Complete Genome	haploid	2
GCF_021484905.1	Acinetobacter baumannii	470	MRSN 58	Complete Genome	haploid	1
GCF_021559695.1	Acinetobacter baumannii	470	AB79	Complete Genome	haploid	2
GCF_021609965.1	Acinetobacter baumannii	470	MRSN57	Complete Genome	haploid	1
GCF_021725415.1	Acinetobacter baumannii	470	BM2333	Complete Genome	haploid	2
GCF_021729465.1	Acinetobacter baumannii	470	YC103	Complete Genome	haploid	2
GCF_021730415.1	Acinetobacter baumannii	470	AB329	Complete Genome	haploid	3
GCF_021764725.1	Acinetobacter baumannii	470	NCCP 16007	Complete Genome	haploid	2
GCF_021899715.1	Acinetobacter baumannii	470	Nord4-2	Complete Genome	haploid	4
GCF_022107375.1	Acinetobacter baumannii	470	2022CK-00063	Complete Genome	haploid	2
GCF_022369275.1	Acinetobacter baumannii	470	M164-3	Complete Genome	haploid	3
GCF_022369355.1	Acinetobacter baumannii	470	M175-3	Complete Genome	haploid	3
GCF_022429585.1	Acinetobacter baumannii	470	AB2877	Complete Genome	haploid	2
GCF_022459055.1	Acinetobacter baumannii	470	AB180-VUB	Complete Genome	haploid	1
GCF_022459075.1	Acinetobacter baumannii	470	AB179-VUB	Complete Genome	haploid	1
GCF_022459095.1	Acinetobacter baumannii	470	AB177-VUB	Complete Genome	haploid	1
GCF_022459115.2	Acinetobacter baumannii	470	AB176-VUB	Complete Genome	haploid	2
GCF_022459135.1	Acinetobacter baumannii	470	AB175-VUB	Complete Genome	haploid	1
GCF_022459155.1	Acinetobacter baumannii	470	AB173-VUB	Complete Genome	haploid	1
GCF_022459175.1	Acinetobacter baumannii	470	AB172-VUB	Complete Genome	haploid	1
GCF_022459295.1	Acinetobacter baumannii	470	AB171-VUB	Complete Genome	haploid	1
GCF_022459415.1	Acinetobacter baumannii	470	AB169-VUB	Complete Genome	haploid	1
GCF_022459595.1	Acinetobacter baumannii	470	AB167-VUB	Complete Genome	haploid	1
GCF_022459755.2	Acinetobacter baumannii	470	AB40-VUB	Complete Genome	haploid	2
GCF_022459875.1	Acinetobacter baumannii	470	AB39-VUB	Complete Genome	haploid	1
GCF_022460015.1	Acinetobacter baumannii	470	AB36-VUB	Complete Genome	haploid	1
GCF_022460155.2	Acinetobacter baumannii	470	AB32-VUB	Complete Genome	haploid	2
GCF_022460295.1	Acinetobacter baumannii	470	AB21-VUB	Complete Genome	haploid	1
GCF_022460435.2	Acinetobacter baumannii	470	AB20-VUB	Complete Genome	haploid	2
GCF_022460575.1	Acinetobacter baumannii	470	AB16-VUB	Complete Genome	haploid	1
GCF_022460745.2	Acinetobacter baumannii	470	AB14-VUB	Complete Genome	haploid	2
GCF_022460875.2	Acinetobacter baumannii	470	AB9-VUB	Complete Genome	haploid	2
GCF_022461025.2	Acinetobacter baumannii	470	AB3-VUB	Complete Genome	haploid	2
GCF_022466815.1	Acinetobacter baumannii	470	DSM30011-VUB	Complete Genome	haploid	1
GCF_022466975.1	Acinetobacter baumannii	470	ATCC19606-VUB	Complete Genome	haploid	1
GCF_022467135.1	Acinetobacter baumannii	470	ATCC17978-VUB	Complete Genome	haploid	1
GCF_022467255.1	Acinetobacter baumannii	470	AB233-VUB	Complete Genome	haploid	1
GCF_022467375.2	Acinetobacter baumannii	470	AB232-VUB	Complete Genome	haploid	2
GCF_022467435.1	Acinetobacter baumannii	470	AB231-VUB	Complete Genome	haploid	1
GCF_022467535.1	Acinetobacter baumannii	470	AB229-VUB	Complete Genome	haploid	1
GCF_022467655.1	Acinetobacter baumannii	470	AB227-VUB	Complete Genome	haploid	1
GCF_022467735.1	Acinetobacter baumannii	470	AB226-VUB	Complete Genome	haploid	1
GCF_022467805.1	Acinetobacter baumannii	470	AB224-VUB	Complete Genome	haploid	1
GCF_022467905.1	Acinetobacter baumannii	470	AB222-VUB	Complete Genome	haploid	1
GCF_022467975.1	Acinetobacter baumannii	470	AB220-VUB	Complete Genome	haploid	1
